"","age","gender","Impair","CI_low","CI_up","type"
"1","65-70","man",0.0534335444096453,0.041908217456333,0.0649588713629576,"tested"
"2","70-75","man",0.102654607959512,0.0819098164799978,0.123399399439026,"tested"
"3","75-80","man",0.183399950961893,0.125650291785572,0.241149610138214,"tested"
"4","80-85","man",0.247688697449773,0.192363647035633,0.303013747863914,"tested"
"5","85+","man",0.369355619617906,0.260336208256392,0.478375030979419,"tested"
"6","65-70","woman",0.0896594451625076,0.0551278961591577,0.124190994165858,"tested"
"7","70-75","woman",0.134932028865789,0.111692306186972,0.158171751544606,"tested"
"8","75-80","woman",0.183190697294769,0.150301334688795,0.216080059900742,"tested"
"9","80-85","woman",0.404499677333906,0.342715667801688,0.466283686866124,"tested"
"10","85+","woman",0.574664754827332,0.472211535400557,0.677117974254107,"tested"
"11","65-70","man",0.0416147433041729,0.031756286468623,0.0514732001397227,"reported_100"
"12","70-75","man",0.081221301690801,0.0645735872265509,0.0978690161550511,"reported_100"
"13","75-80","man",0.142055822388086,0.106968301892717,0.177143342883455,"reported_100"
"14","80-85","man",0.158344777828355,0.11299475324224,0.203694802414471,"reported_100"
"15","85+","man",0.170936797418534,0.0911264726832252,0.250747122153843,"reported_100"
"16","65-70","woman",0.0825679962217057,0.0681658245618606,0.0969701678815508,"reported_100"
"17","70-75","woman",0.147914299771886,0.12520966831286,0.170618931230913,"reported_100"
"18","75-80","woman",0.168650279643708,0.138101309582902,0.199199249704513,"reported_100"
"19","80-85","woman",0.278132527495127,0.218625956914026,0.337639098076228,"reported_100"
"20","85+","woman",0.367090111910137,0.268054294963347,0.466125928856926,"reported_100"
